|        objname |           ra |          dec |   ra_deg |  dec_deg | distance | maxaxis | minaxis | num_transients | priority |                                                                                                                                                                                                                                                                                                                                                                                                            transients |
|      Cartwheel | 00:37:40.400 | -33:42:59.51 |   9.4183 | -33.7165 |    125.0 |     0.6 |     0.6 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                            ['SN 2021afdx', 'AT 2018erf', 'SN 2011gz'] |
|        NGC1566 | 04:20:00.398 | -54:56:16.12 |  65.0017 | -54.9378 |     17.0 |     4.5 |     4.3 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                            ['AT 2022ryi', 'SN 2021aefx', 'SN 2010el'] |
|        NGC2442 | 07:36:23.808 | -69:31:50.99 | 114.0992 | -69.5308 |     14.0 |     6.2 |     5.4 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                               ['AT 2016jbu', 'SN 2015F', 'SN 1999ga'] |
|        NGC4231 | 12:16:48.912 | +47:27:26.89 | 184.2038 |  47.4575 |    109.0 |     0.7 |     0.6 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                           ['AT 2025ftq', 'AT 2024aiai', 'AT 2024qsj'] |
|        NGC3629 | 11:20:31.776 | +26:57:47.84 | 170.1324 |  26.9633 |     38.0 |     2.3 |     1.6 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                            ['AT 2020ild', 'AT 2020dbf', 'AT 2020ayx'] |
|        NGC2532 | 08:10:15.198 | +33:57:23.37 | 122.5633 |  33.9565 |     40.2 |   132.0 |   102.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                              ['SN 2016gil', 'SN 2002hn', 'SN 1999gb'] |
|         IC2597 | 10:37:47.344 | -27:04:52.46 | 159.4473 | -27.0812 |     44.4 |   144.0 |   114.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                 ['AT 2023xbf', 'AT 2015dc', '2007cv'] |
|        NGC3074 | 09:59:41.280 | +35:23:33.97 |  149.922 |  35.3928 |     17.0 |   144.0 |   132.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                  ['SN 2019bqe', 'SN 2002cp', '1965N'] |
|    ESO121-G026 | 06:21:38.756 | -59:44:23.62 |  95.4115 | -59.7399 |     39.2 |   258.0 |   180.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                ['SN 2012hr', 'SN 2009mg', 'SN 2008M'] |
|       UGC11404 | 19:07:03.787 | +29:00:23.07 | 286.7658 |  29.0064 |     39.4 |   126.0 |    84.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                             ['SN 2022yyz', 'AT 2019gdj', 'SN 2012gj'] |
|        NGC6090 | 16:11:40.704 | +52:27:24.01 | 242.9196 |  52.4567 |    129.0 |     1.7 |     0.7 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                             ['SN 2023eoc', 'AT 2021uvk', 'SN 2008cl'] |
|       UGC12285 | 22:59:26.688 | +12:42:54.40 | 344.8612 |  12.7151 |    208.0 |     0.6 |     0.4 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                             ['AT 2025dk', 'AT 2024pud', 'AT 2023xrq'] |
|        NGC6753 | 19:11:23.635 | -57:02:58.44 | 287.8485 | -57.0496 |     25.1 |   168.0 |   150.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                              ['SN 2019mhm', 'SN 2005cb', 'SN 2000cj'] |
|        NGC5101 | 13:21:46.242 | -27:25:49.87 | 200.4427 | -27.4305 |     15.0 |   360.0 |   300.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                              ['AT 2022mip', 'AT 2021crr', 'SN 1986B'] |
|        NGC5018 | 13:13:01.000 | -19:31:05.87 | 198.2542 | -19.5183 |     38.5 |   360.0 |   270.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                             ['SN 2021fxy', 'SN 2017isq', 'SN 2002dj'] |
|            M63 | 13:15:49.330 | +42:01:45.40 | 198.9555 |  42.0293 |      8.0 |    12.6 |     7.2 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                 ['AT 2021lcz', 'AT 2017dfc', '1971I'] |
|         IC4229 | 13:22:26.088 | -02:25:05.80 | 200.6087 |  -2.4183 |    100.0 |     1.0 |     0.5 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                               ['AT 2019hve', 'SN 2002I', 'SN 2001ae'] |
|           M060 | 12:43:40.008 | +11:33:09.40 | 190.9167 |  11.5526 |     16.2 |   420.0 |   360.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                   ['SN 2022hrs', 'SN 2004W', '1979A'] |
|        NGC4753 | 12:52:22.112 | -01:11:58.88 | 193.0921 |  -1.1997 |     18.6 |   270.0 |   150.0 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                   ['AT 2025lpc', 'SN 1983G', '1965I'] |
|        NGC4559 | 12:35:57.696 | +27:57:35.10 | 188.9904 |  27.9598 |     17.0 |     6.7 |     3.2 |              3 |      1.0 |                                                                                                                                                                                                                                                                                                                                                                                 ['AT 2022lai', 'AT 2016blu', '1941A'] |
|            M58 | 12:37:43.600 | +11:49:05.10 | 189.4317 |  11.8181 |     19.2 |     5.9 |     4.7 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                              ['SN 1989M', 'SN 1988A'] |
|        NGC5061 | 13:18:05.054 | -26:50:14.00 | 199.5211 | -26.8372 |     27.1 |   180.0 |   180.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 2005cn', 'SN 1996X'] |
|        NGC4631 | 12:42:07.992 | +32:32:29.40 | 190.5333 |  32.5415 |      9.0 |     9.3 |     2.8 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['AT 2021biy', 'AT 2020aaa'] |
|       UGC08041 | 12:55:15.610 | +00:05:59.35 |  193.815 |   0.0998 |     15.0 |     1.2 |     0.6 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['AT 2019bja', 'SN 2016X'] |
|        NGC4793 | 12:54:40.800 | +28:56:17.45 |   193.67 |  28.9382 |     30.4 |   204.0 |   108.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2019upv', 'SN 2016jfu'] |
|        NGC5350 | 13:53:21.600 | +40:21:50.00 |   208.34 |  40.3639 |     31.3 |     2.4 |     2.1 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2019ein', 'SN 2017bck'] |
|        NGC7479 | 23:04:56.688 | +12:19:22.40 | 346.2362 |  12.3229 |     35.0 |     3.0 |     0.9 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                             ['SN 2009jf', 'SN 1990U'] |
|        NGC7552 | 23:16:10.776 | -42:35:03.41 | 349.0449 | -42.5843 |     29.0 |     3.4 |     2.7 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2017bzc', 'AT 2014ej'] |
|        NGC7329 | 22:40:24.199 | -66:28:44.58 | 340.1008 |  -66.479 |     45.8 |   330.0 |   240.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2009iu', 'SN 2006bh'] |
|        NGC0337 | 00:59:50.100 | -07:34:40.70 |  14.9587 |   -7.578 |     25.0 |     2.6 |     1.5 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2014cx', 'SN 2011dq'] |
|        NGC5020 | 13:12:39.873 | +12:35:59.04 | 198.1661 |  12.5997 |     48.7 |   198.0 |   168.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                                 ['SN 2015D', '1991J'] |
|        NGC5012 | 13:11:37.057 | +22:54:55.69 | 197.9044 |  22.9155 |     37.8 |   174.0 |   102.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2020kyg', 'SN 1997eg'] |
|    CGCG023-019 | 16:10:14.592 | +01:03:20.50 | 242.5608 |   1.0557 |    121.0 |     1.2 |     0.8 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['SN 2024opz', 'AT 2020mip'] |
|        NGC5643 | 14:32:40.800 | -44:10:28.13 |   218.17 | -44.1745 |     10.8 |   210.0 |   210.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                           ['SN 2017cbv', 'SN 2013aa'] |
|        NGC5619 | 14:27:18.192 | +04:48:10.20 | 216.8258 |   4.8028 |    121.0 |     1.9 |     1.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                          ['AT 2025mfa', 'AT 2024tgb'] |
|        NGC5371 | 13:55:40.023 | +40:27:42.37 | 208.9168 |  40.4618 |     27.3 |   270.0 |   210.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2020bio', 'SN 1994Y'] |
|        NGC5557 | 14:18:25.680 | +36:29:38.87 |  214.607 |  36.4941 |     36.3 |   132.0 |   120.0 |              2 |      2.0 |                                                                                                                                                                                                                                                                                                                                                                                            ['SN 2013gn', 'SN 1996aa'] |
