|         obj |           ra |          dec |  dist |  ebv | muvmag | maxaxis | minaxis | priority |      note | exptime | filter | count | binning | num_transients |                                                                                                                        transients |
|     NGC4108 | 12:06:44.592 | +67:09:47.48 |  40.0 | 0.02 |  -18.5 |     1.1 |     1.0 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                          ['SN 2021jag', 'AT 2019dko', 'AT 2018mjf', 'AT 2017ixt'] |
|         M99 | 12:18:49.608 | +14:24:59.40 |  17.0 | 0.04 | -19.21 |     4.5 |     4.3 |      1.0 |   NGC4254 | 120,120 |    g,r |   5,5 |     1,1 |              6 |                                                            ['AT 2025agt', 'AT 2017blm', 'SN 2014L', 'SN 1986I', '1972Q', '1967H'] |
|     NGC4303 | 12:21:54.888 | +04:28:25.10 |  17.0 | 0.02 |  -19.4 |     4.7 |     3.5 |      1.0 |       M61 | 120,120 |    g,r |   5,5 |     1,1 |             10 |   ['AT 2021ilb', 'SN 2020jfo', 'AT 2020hxk', 'SN 2014dt', 'SN 2008in', 'SN 2006ov', 'SN 1999gn', 'SN 1964F', 'SN 1961I', '1926A'] |
|     NGC4314 | 12:22:31.980 | +29:53:43.48 |  44.0 | 0.02 | -18.46 |     4.2 |     3.7 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC4321 | 12:22:54.888 | +15:49:20.60 |  18.0 | 0.03 | -19.21 |     7.3 |     5.7 |      1.0 |      M100 | 120,120 |    g,r |   5,5 |     1,1 |              7 |                                                    ['SN 2020oi', 'SN 2019ehk', 'SN 2006X', 'SN 1979C', '1959E', '1914A', '1901B'] |
|     NGC4500 | 12:31:22.152 | +57:57:52.81 |  48.0 | 0.01 | -18.47 |     1.6 |     1.0 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC4653 | 12:43:50.916 | -00:33:40.54 |  39.0 | 0.02 | -18.66 |     1.8 |     1.4 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              5 |                                                              ['SN 2025mqc', 'AT 2021rca', 'AT 2021coc', 'SN 2009ik', 'SN 1999gk'] |
|     NGC4814 | 12:55:21.936 | +58:20:38.80 |  40.0 | 0.01 | -18.53 |     3.1 |     2.3 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC4993 | 13:09:47.710 | -23:23:01.80 |  99.0 | 0.99 | -99.99 |     9.9 |     9.9 |      1.0 |        GW | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2017gfo'] |
|        M51a | 13:29:52.704 | +47:11:42.61 |   8.4 | 0.04 | -19.26 |    12.0 |     6.5 |      1.0 | NGC5194+5 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|         M83 | 13:37:00.912 | -29:51:56.70 |   4.5 | 0.07 | -18.76 |    12.2 |     9.4 |      1.0 |   NGC5236 | 120,120 |    g,r |   5,5 |     1,1 |              7 |                                                           ['AT 2018eoq', 'SN 1983N', '1968L', '1957D', '1950B', '1945B', '1923A'] |
|     NGC5371 | 13:55:39.936 | +40:27:42.00 |  29.4 | 0.01 | -18.98 |     4.4 |     3.5 |      1.0 |       add | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|        M101 | 14:03:12.600 | +54:20:56.69 |   7.5 | 0.01 | -19.57 |    13.9 |    13.8 |      1.0 |   NGC5457 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC5430 | 14:00:45.720 | +59:19:42.24 |  47.0 | 0.01 |  -18.7 |     2.7 |     1.1 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC5584 | 14:22:23.772 | -00:23:15.32 |  25.0 | 0.04 | -18.43 |     2.5 |     1.7 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC5668 | 14:33:24.300 | +04:27:01.19 |  25.0 | 0.03 | -18.72 |     3.3 |     3.0 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                                   ['AT 2020akl', 'SN 2004G', 'SN 1954B', '1952G'] |
|     NGC5850 | 15:07:07.644 | +01:32:40.74 |  38.0 | 0.03 | -18.65 |     4.3 |     3.7 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                           ['AT 2024ogc', '1987B'] |
|     NGC5962 | 15:36:31.704 | +16:36:28.30 |  30.0 | 0.05 |  -18.8 |     1.8 |     1.2 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC6070 | 16:09:58.680 | +00:42:34.31 |  27.0 | 0.13 | -18.58 |     3.5 |     1.9 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2010dy'] |
|     NGC6555 | 18:07:49.188 | +17:36:17.53 |  35.0 | 0.09 | -18.54 |     2.0 |     1.5 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
| ESO182-G010 | 18:18:30.600 | -54:41:39.41 |  49.0 |  0.1 |  -19.0 |     1.9 |     1.4 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2006ci'] |
|     NGC6744 | 19:09:45.900 | -63:51:27.72 |   9.3 | 0.04 | -19.05 |    20.0 |    12.9 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['SN 2024vjm', 'SN 2005at'] |
|     NGC6814 | 19:42:40.608 | -10:19:25.32 |  23.0 | 0.16 | -18.61 |     3.0 |     2.8 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2019fpe'] |
|     NGC6946 | 20:34:52.300 | +60:09:14.00 |  5.96 | 9.99 | -19.13 |    11.9 |     8.3 |      1.0 |     low-b | 120,120 |    g,r |   5,5 |     1,1 |             11 | ['AT 2023kya', 'SN 2017eaw', 'SN 2008S', 'SN 2004et', 'SN 2002hh', 'SN 1980K', '1969P', 'SN 1968D', 'SN 1948B', '1939C', '1917A'] |
|     NGC6951 | 20:37:14.088 | +66:06:20.30 |  24.0 | 0.37 | -18.47 |     3.0 |     1.9 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              6 |                                                   ['SN 2021sjt', 'SN 2020dpw', 'AT 2016ejj', 'SN 2015G', 'SN 2000E', 'SN 1999el'] |
|     NGC7083 | 21:35:44.592 | -63:54:09.79 |  34.0 | 0.04 | -18.98 |     3.9 |     2.3 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                                ['AT 2022odv', 'SN 2019qar', 'SN 2009hm', '1983Y'] |
|     NGC7479 | 23:04:56.688 | +12:19:22.40 |  35.0 | 0.11 | -19.26 |     3.0 |     0.9 |      1.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                         ['SN 2009jf', 'SN 1990U'] |
|     NGC7552 | 23:16:10.776 | -42:35:03.41 |  29.0 | 0.01 | -18.84 |     3.4 |     2.7 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['SN 2017bzc', 'AT 2014ej'] |
|     NGC7714 | 23:36:14.112 | +02:09:18.07 |  41.0 | 0.05 | -19.18 |     1.9 |     1.4 |      1.0 |      new+ | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC0628 | 01:36:41.801 | +15:47:00.49 |  11.0 | 0.07 |  -18.8 |     6.8 |     5.9 |      1.1 |       M74 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC1068 | 02:42:40.699 | -00:00:47.80 |  14.0 | 0.03 | -18.78 |     2.2 |     1.8 |      1.1 |       M77 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|         M95 | 10:43:57.730 | +11:42:13.00 |  10.0 | 0.03 | -17.26 |     7.2 |     4.5 |      1.1 |   NGC3351 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|         M66 | 11:20:15.030 | +12:59:28.60 |   9.5 | 0.02 | -17.88 |     9.1 |     4.2 |      1.1 |   NGC3627 | 120,120 |    g,r |   5,5 |     1,1 |              7 |                                      ['AT 2025nxy', 'AT 2020cwh', 'SN 2016cok', 'SN 2009hd', 'AT 1997bs', 'SN 1989B', 'SN 1973R'] |
|         M98 | 12:13:48.290 | +14:54:01.70 |  15.4 | 0.04 | -17.48 |    11.0 |     2.6 |      1.1 |   NGC4192 | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2024exw'] |
|         M86 | 12:26:11.810 | +12:56:45.50 |  15.9 | 0.03 | -17.21 |    11.5 |     8.3 |      1.1 |   NGC4406 | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                           ['AT 2024gix', '1980I'] |
|         M87 | 12:30:49.420 | +12:23:28.00 |  16.4 | 0.02 | -17.35 |     7.1 |     6.6 |      1.1 |   NGC4486 | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                         ['1919A'] |
|         M91 | 12:35:26.430 | +14:29:46.70 |  16.4 | 0.04 | -17.13 |     5.4 |     4.3 |      1.1 |   NGC4548 | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|         M90 | 12:36:49.820 | +13:09:46.30 |  12.3 | 0.05 | -17.27 |     9.5 |     4.4 |      1.1 |   NGC4569 | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2021dgs'] |
|         M58 | 12:37:43.600 | +11:49:05.10 |  19.2 | 0.04 |  -17.7 |     5.9 |     4.7 |      1.1 |   NGC4579 | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                          ['SN 1989M', 'SN 1988A'] |
|         M64 | 12:56:43.800 | +21:40:51.89 |  17.0 | 0.04 | -18.68 |     6.9 |     3.9 |      1.1 |   NGC4826 | 120,120 |    g,r |   5,5 |     1,1 |              8 |                  ['AT 2023xrd', 'AT 2023cqt', 'AT 2022dun', 'AT 2021ray', 'AT 2021qyz', 'AT 2021dhg', 'AT 2019txw', 'AT 2018kkt'] |
|         M63 | 13:15:49.330 | +42:01:45.40 |   8.0 | 0.02 | -17.65 |    12.6 |     7.2 |      1.1 |   NGC5055 | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                             ['AT 2021lcz', 'AT 2017dfc', '1971I'] |
|     NGC0514 | 01:24:03.900 | +12:55:02.60 |  36.0 | 0.04 | -18.57 |     2.7 |     1.8 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                      ['SN 2020uxz', 'AT 2016gmi'] |
|     NGC0772 | 01:59:19.601 | +19:00:27.11 |  36.0 | 0.07 | -19.24 |     4.8 |     3.8 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                            ['SN 2022qze', 'AT 2020uex', 'SN 2003iq', 'SN 2003hl'] |
|     NGC1084 | 02:45:59.899 | -07:34:43.10 |  19.0 | 0.03 | -18.42 |     2.7 |     1.6 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              6 |                                                         ['SN 2012ec', 'SN 2009H', 'SN 2008al', 'SN 1998dl', 'SN 1996an', '1963P'] |
|     NGC1385 | 03:37:28.301 | -24:30:04.68 |  19.0 | 0.02 | -18.52 |     2.5 |     2.0 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2020pju'] |
|     NGC1566 | 04:20:00.398 | -54:56:16.12 |  17.0 | 0.01 | -19.29 |     4.5 |     4.3 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                        ['AT 2022ryi', 'SN 2021aefx', 'SN 2010el'] |
|     NGC4490 | 12:30:36.408 | +41:38:37.10 |  11.0 | 0.02 | -18.67 |     5.3 |     2.3 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                                  ['AT 2011kp', 'SN 2008ic', 'SN 2008ax', '1982F'] |
|     NGC4559 | 12:35:57.696 | +27:57:35.10 |  17.0 | 0.02 | -19.28 |     6.7 |     3.2 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                             ['AT 2022lai', 'AT 2016blu', '1941A'] |
|     NGC4631 | 12:42:07.992 | +32:32:29.40 |   9.0 | 0.02 | -18.42 |     9.3 |     2.8 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                      ['AT 2021biy', 'AT 2020aaa'] |
|     NGC5033 | 13:13:27.400 | +36:35:38.00 |  19.6 | 9.99 | -18.49 |     3.8 |     1.7 |      1.5 |       add | 120,120 |    g,r |   5,5 |     1,1 |              6 |                                                      ['SN 2025mvn', 'AT 2021sqk', 'AT 2019wur', 'SN 2001gd', 'SN 1985L', '1950C'] |
|     NGC5350 | 13:53:21.600 | +40:21:50.00 |  31.3 | 9.99 | -18.92 |     2.4 |     2.1 |      1.5 |       add | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                      ['SN 2019ein', 'SN 2017bck'] |
|     NGC5427 | 14:03:26.000 | -06:01:51.00 |  33.8 | 9.99 | -19.44 |     2.4 |     2.1 |      1.5 |       add | 120,120 |    g,r |   5,5 |     1,1 |              6 |                                                      ['AT 2025vmg', 'SN 2021pfs', 'AT 2019ikf', 'SN 2009mz', 'SN 1991B', '1976D'] |
|     NGC6902 | 20:24:28.104 | -43:39:12.71 |  38.0 | 0.04 | -19.24 |     2.5 |     1.9 |      1.5 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2024uwq'] |
|    PGC00282 | 00:04:01.500 | -11:10:27.30 | 161.0 | 0.04 |  -20.0 |     0.7 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2021ssf', 'SN 2008hj'] |
| ARP256NED01 | 00:18:50.900 | -10:22:36.59 | 115.0 | 0.04 | -19.87 |     2.0 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2025qek', 'SN 2010hp'] |
|     NGC0099 | 00:23:59.400 | +15:46:13.51 |  77.0 | 0.06 | -19.53 |     0.8 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                        ['AT 2024szi', 'AT 2023pdm', 'AT 2023okg'] |
|     NGC0151 | 00:34:02.800 | -09:42:19.20 |  52.0 | 0.03 | -19.37 |     1.9 |     1.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2023lnh'] |
|   Cartwheel | 00:37:40.400 | -33:42:59.51 | 125.0 | 0.01 | -20.75 |     0.6 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              3 |                                                                                        ['SN 2021afdx', 'AT 2018erf', 'SN 2011gz'] |
|    PGC02269 | 00:37:57.500 | -09:15:09.30 |  74.0 | 0.04 | -19.07 |     1.1 |     0.9 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2023qcj'] |
| ESO540-G025 | 00:47:37.901 | -20:31:10.20 |  89.0 | 0.02 |  -19.1 |     0.6 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              4 |                                                                         ['AT 2024ahxi', 'SN 2021vtq', 'SN 2021qzp', 'AT 2020vze'] |
|     NGC0266 | 00:49:47.801 | +32:16:39.79 |  68.0 | 0.07 | -19.05 |     2.5 |     1.1 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                     ['SN 2005gl'] |
| ESO352-G002 | 01:04:30.401 | -33:39:16.09 | 140.0 | 0.03 | -19.54 |     1.3 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|      IC1616 | 01:04:56.201 | -27:25:45.70 |  78.0 | 0.02 | -19.05 |     1.4 |     0.9 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC0706 | 01:51:50.501 | +06:17:48.80 |  71.0 | 0.06 | -19.33 |     1.6 |     1.0 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                      ['AT 2022acfs', 'SN 2001ed'] |
|    PGC07210 | 01:55:51.300 | -09:58:00.50 | 115.0 | 0.02 | -19.72 |     0.9 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2021wft'] |
|     NGC0783 | 02:01:06.600 | +31:52:56.89 |  76.0 | 0.06 |  -19.6 |     1.7 |     1.4 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2017hdz', 'SN 2004fz'] |
|    UGC02010 | 02:32:07.099 | -01:21:43.70 | 160.0 | 0.04 | -19.56 |     0.8 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                     ['AT 2023achh', 'AT 2020btt'] |
| KUG0232-079 | 02:34:48.401 | -07:41:00.90 |  93.0 | 0.03 | -19.59 |     0.9 |     0.8 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['SN 2024uns'] |
|     NGC1069 | 02:42:59.801 | -08:17:22.20 | 134.0 | 0.02 | -19.75 |     1.0 |     0.7 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2023wtd'] |
|     NGC1072 | 02:43:31.301 | +00:18:24.60 | 114.0 | 0.04 | -19.16 |     1.1 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2022abaj', 'SN 2004I'] |
|    PGC10794 | 02:50:44.201 | -06:44:45.30 |  98.0 | 0.04 | -19.01 |     0.9 |     0.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              2 |                                                                                                       ['AT 2021oj', 'AT 2019scc'] |
|    UGC02442 | 02:58:35.599 | +25:16:48.29 | 150.0 | 0.15 | -19.55 |     0.7 |     0.6 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              0 |                                                                                                                                [] |
|     NGC1241 | 03:11:14.599 | -08:55:19.70 |  56.0 | 0.11 |  -19.3 |     2.4 |     1.5 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              1 |                                                                                                                    ['AT 2019xxd'] |
|     NGC1285 | 03:17:53.400 | -07:17:52.10 |  73.0 | 0.05 | -19.73 |     1.2 |     0.9 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              5 |                                                               ['AT 2021far', 'SN 2019knu', 'SN 2017fvf', 'SN 2013el', 'SN 2004F'] |
|     NGC1961 | 05:42:04.800 | +69:22:43.28 |  60.0 | 0.12 | -20.21 |     3.4 |     2.3 |      2.0 |      none | 120,120 |    g,r |   5,5 |     1,1 |              5 |                                                                ['SN 2021vaz', 'SN 2013cc', 'SN 2001is', 'SN 2001ez', 'SN 1998eb'] |
